LocationType,SampleDate,NO3median_mgL,num_samples,HPU,median_ht_above_C_cm,sdWLs,wells_included
1,2010-04-01,0.29,59,ephemeral,NA,NA,NA
1,2010-06-18,0.119583869439256,6,ephemeral,NA,NA,NA
1,2010-06-28,0.62027544378088,2,ephemeral,NA,NA,NA
1,2010-08-06,0.116461475420871,3,ephemeral,NA,NA,NA
1,2010-10-01,0.132427581567403,39,ephemeral,NA,NA,NA
1,2012-09-10,0.519698814281746,1,ephemeral,NA,NA,NA
1,2012-09-24,0.619558081198057,1,ephemeral,NA,NA,NA
1,2012-10-09,0.883703903786709,1,ephemeral,NA,NA,NA
1,2012-10-22,0.557616855985391,1,ephemeral,NA,NA,NA
1,2012-10-29,0.7418002000418166,2,ephemeral,NA,NA,NA
1,2012-10-30,0.4780012161982055,2,ephemeral,NA,NA,NA
1,2012-11-06,1.39721282253415,1,ephemeral,NA,NA,NA
1,2012-11-21,1.82968692051043,1,ephemeral,NA,NA,NA
1,2012-12-03,2.04342183232765,1,ephemeral,NA,NA,NA
1,2012-12-18,1.55464443842115,1,ephemeral,NA,NA,NA
1,2013-01-14,1.51611654212226,1,ephemeral,NA,NA,NA
1,2013-01-31,3.45898670598297,2,ephemeral,NA,NA,NA
1,2013-03-11,0.520893758606362,1,ephemeral,NA,NA,NA
1,2013-03-12,1.6691529598736001,6,ephemeral,NA,NA,NA
1,2013-03-13,1.7354904395424549,6,ephemeral,NA,NA,NA
1,2013-03-27,0.6705305694489375,2,ephemeral,NA,NA,NA
1,2013-03-28,0.466188249539948,1,ephemeral,NA,NA,NA
1,2013-03-30,0.478321339922987,2,ephemeral,NA,NA,NA
1,2013-03-31,0.563130492454192,1,ephemeral,NA,NA,NA
1,2013-04-01,1.07615019029371,1,ephemeral,NA,NA,NA
1,2013-04-19,0.539019007938793,1,ephemeral,NA,NA,NA
1,2013-04-30,0.154930890612499,1,ephemeral,NA,NA,NA
1,2013-11-07,1.10286944682464,1,ephemeral,NA,NA,NA
1,2014-08-08,0.0851552869337465,1,ephemeral,NA,NA,NA
1,2014-08-11,0.104619368206894,1,ephemeral,NA,NA,NA
1,2014-08-12,0.110691987881974,1,ephemeral,NA,NA,NA
1,2014-08-13,0.276672180166324,1,ephemeral,NA,NA,NA
1,2019-06-06,0.15000000000000002,6,ephemeral,NA,NA,NA
1,2019-06-11,0.13,4,ephemeral,NA,NA,NA
1,2019-06-18,0.08,5,ephemeral,NA,NA,NA
1,2019-06-25,0.11,9,ephemeral,NA,NA,NA
1,2019-07-02,0.08,5,ephemeral,NA,NA,NA
1,2019-07-08,0.1,1,ephemeral,NA,NA,NA
1,2019-07-12,0.08,7,ephemeral,NA,NA,NA
1,2019-07-23,0.08,1,ephemeral,NA,NA,NA
2,2010-04-01,0.8,11,intermittent,NA,NA,NA
2,2010-06-18,0.0458515912815923,1,intermittent,NA,NA,NA
2,2010-10-01,0.0517675158018285,5,intermittent,NA,NA,NA
2,2011-11-07,0.0550255316141622,1,intermittent,NA,NA,NA
2,2011-11-22,0.0761012517762213,1,intermittent,NA,NA,NA
2,2011-12-07,0.332705193088635,1,intermittent,NA,NA,NA
2,2011-12-21,0.399031687431173,1,intermittent,NA,NA,NA
2,2012-01-05,0.692100412468701,1,intermittent,NA,NA,NA
2,2012-02-01,0.913306173383058,1,intermittent,NA,NA,NA
2,2012-03-14,2.41073949064451,1,intermittent,NA,NA,NA
2,2012-03-28,0.658741275564191,1,intermittent,NA,NA,NA
2,2012-04-14,0.330370500487777,1,intermittent,NA,NA,NA
2,2012-04-24,1.19868990047977,1,intermittent,NA,NA,NA
2,2012-05-05,0.569582957656206,1,intermittent,NA,NA,NA
2,2012-07-06,0.0593630109565341,1,intermittent,NA,NA,NA
2,2012-08-10,1.26597778021978,1,intermittent,NA,NA,NA
2,2012-08-21,0.0489949275938421,1,intermittent,NA,NA,NA
2,2012-10-22,0.146395256434942,1,intermittent,NA,NA,NA
2,2012-10-29,0.107621757631387,1,intermittent,NA,NA,NA
2,2012-10-30,0.256125589578943,1,intermittent,NA,NA,NA
2,2012-11-06,0.157780452901451,1,intermittent,NA,NA,NA
2,2012-11-21,0.167790524613811,1,intermittent,NA,NA,NA
2,2012-12-03,1.04618802133637,1,intermittent,NA,NA,NA
2,2012-12-18,0.536328604902673,1,intermittent,NA,NA,NA
2,2013-01-02,0.485822013979533,1,intermittent,NA,NA,NA
2,2013-01-14,1.06341118908951,1,intermittent,NA,NA,NA
2,2013-01-28,0.494962999791299,1,intermittent,NA,NA,NA
2,2013-01-31,2.7857093543753,1,intermittent,NA,NA,NA
2,2013-03-11,0.698911982823613,2,intermittent,NA,NA,NA
2,2013-03-13,2.31113619607746,1,intermittent,NA,NA,NA
2,2013-03-27,1.00524004060179,1,intermittent,NA,NA,NA
2,2013-03-28,0.924262345226276,1,intermittent,NA,NA,NA
2,2013-03-29,0.875044060888316,1,intermittent,NA,NA,NA
2,2013-03-30,0.888186111707714,1,intermittent,NA,NA,NA
2,2013-04-01,1.14703134610102,1,intermittent,NA,NA,NA
2,2013-04-05,0.989936674801484,1,intermittent,NA,NA,NA
2,2013-04-08,0.850847001326444,1,intermittent,NA,NA,NA
2,2013-04-09,1.53943817234145,1,intermittent,NA,NA,NA
2,2013-04-11,1.37010169684128,1,intermittent,NA,NA,NA
2,2013-04-19,0.930272505655317,1,intermittent,NA,NA,NA
2,2013-04-30,0.297090103838545,1,intermittent,NA,NA,NA
2,2013-06-28,0.1330995625596835,2,intermittent,NA,NA,NA
2,2014-06-05,0.156472278549529,1,intermittent,NA,NA,NA
2,2014-06-13,0.8487227217114,1,intermittent,NA,NA,NA
2,2014-06-14,0.465775301315003,1,intermittent,NA,NA,NA
2,2014-06-16,0.17811270542631,1,intermittent,NA,NA,NA
2,2014-07-16,0.175579775537017,1,intermittent,NA,NA,NA
3,2010-04-01,0.13,16,perennial,NA,NA,NA
3,2010-06-18,0.06641419160634646,4,perennial,NA,NA,NA
3,2010-08-06,0.1360272469976807,4,perennial,NA,NA,NA
3,2010-08-21,0.101354179701445,11,perennial,NA,NA,NA
3,2010-10-01,0.0553597241993262,10,perennial,NA,NA,NA
3,2011-04-14,0.548491111041755,1,perennial,NA,NA,NA
3,2011-08-16,0.050259106515407,1,perennial,NA,NA,NA
3,2012-08-10,0.187947919411132,1,perennial,NA,NA,NA
3,2012-09-24,0.0420379358272205,1,perennial,NA,NA,NA
3,2012-10-30,0.3266406120843625,2,perennial,NA,NA,NA
3,2012-11-21,0.124608170661962,1,perennial,NA,NA,NA
3,2012-12-03,0.697318396172798,1,perennial,NA,NA,NA
3,2012-12-18,0.394397717898887,1,perennial,NA,NA,NA
3,2013-01-02,0.372828028965369,1,perennial,NA,NA,NA
3,2013-01-14,0.713858219610809,1,perennial,NA,NA,NA
3,2013-01-28,0.42841442243305,1,perennial,NA,NA,NA
3,2013-01-31,1.62488097080905,1,perennial,NA,NA,NA
3,2013-02-13,0.570856265841133,1,perennial,NA,NA,NA
3,2013-02-26,0.563951296483963,1,perennial,NA,NA,NA
3,2013-03-11,0.4809770469432225,16,perennial,NA,NA,NA
3,2013-03-12,0.884312449221138,25,perennial,NA,NA,NA
3,2013-03-13,2.12443663151759,14,perennial,NA,NA,NA
3,2013-03-26,0.62965904606904,2,perennial,NA,NA,NA
3,2013-03-27,0.560568961231403,1,perennial,NA,NA,NA
3,2013-03-28,0.562497089091395,1,perennial,NA,NA,NA
3,2013-03-29,0.540001286278468,1,perennial,NA,NA,NA
3,2013-06-28,0.0579255703691378,1,perennial,NA,NA,NA
3,2013-08-20,0.1630910107781574,2,perennial,NA,NA,NA
3,2013-09-03,0.0973533256241283,3,perennial,NA,NA,NA
3,2013-11-07,0.520430776803456,2,perennial,NA,NA,NA
3,2014-06-05,0.291202055155555,3,perennial,NA,NA,NA
3,2014-06-13,0.513025963675489,3,perennial,NA,NA,NA
3,2014-06-14,0.31249414571989,3,perennial,NA,NA,NA
3,2014-06-16,0.240615700911696,3,perennial,NA,NA,NA
3,2014-07-16,0.0620158335120567,3,perennial,NA,NA,NA
