"","Site","SampleTime","SampleDate","pH","LocationType","Na_mgL","Mg_mgL","Al_mgL","SiO2_mgL","K_mgL","Ca_mgL","Mn_mgL","Fe_mgL","F_mgL","Cl_mgL","NO3_mgL","SO4_mgL","DOC_mgL","TDN_mgL","GWType","X","Y","Na_MP","Mg_MP","Al_MP","Si_MP","P_MP","K_MP","Ca_MP","Mn_MP","Fe_MP","Zn_MP","Rb_MP","Sr_MP","Ba_MP","Pb_MP","NH4 mg N/L","Alm_mgL","Alo_mgL","Durham_id","Method","SpecCond","DON_mgL","TMAl_mgL","OMAl_mgL","IMAl_mgL","NH4_NmgL","PO4_PmgL","S_mgL","Sr_mgL","Zn_mgL"
"1","42_2_s1",1900-01-01 14:03:00,2019-07-12,4.43,"G1",0.43,0.06,0.53,2.68,0.1,0.22,0.07,0.28,0.02,0.22,0.01,0.51,14.67,0.33,"shallow","281626.546","4871231.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SG-105","pump",17.21,0.31,0.4,0.25,0.15,0.021,0.016,0.28,0.002,0.02
"2","42_2_s1",1900-01-01 14:36:00,2019-06-06,4.54,"G1",0.36,0.06,0.6,2.28,0.09,0.17,0.07,0.27,0.02,0.23,0.04,0.67,13.78,0.3,"shallow","281626.546","4871231.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SG-001","pump",15.12,0.28,0.405,0.158,0.247,0.011,0.017,0.23,0.002,0.013
"3","42_2_s1",1900-01-01 15:53:00,2019-06-11,4.43,"G1",0.44,0.06,0.57,2.19,0.11,0.17,0.08,0.28,0.03,0.37,0.02,0.61,14.43,0.36,"shallow","281626.546","4871231.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SG-028","pump",16.71,0.35,0.402,0.156,0.246,0.012,0.018,0.24,0.004,0.024
"4","42_3_s1",1900-01-01 14:06:00,2019-06-06,4.76,"G2",0.38,0.06,0.45,2.15,0.1,0.14,0.08,0.09,0.02,0.33,0.31,1.09,7.73,0.27,"shallow","281637.4851","4871215.022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SG-002","pump",11.32,0.19,0.302,0.084,0.217,0.013,0.025,0.34,0.002,0.006
"5","42_3_s1",1900-01-01 16:10:00,2019-06-11,4.67,"G2",0.36,0.06,0.5,2.02,0.1,0.16,0.09,0.1,0.02,0.44,0.3,1.01,8.35,0.3,"shallow","281637.4851","4871215.022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SG-029","pump",12.74,0.23,0.325,0.092,0.233,0.008,0.028,0.35,0.003,0.011
"6","42_4_d1",1900-01-01 11:30:00,2019-09-06,5.06,"G3",0.535145995839309,0.0630931777863352,0.250682502584124,3.38977145362604,0.173934434559562,0.183072897094988,0.375208684660573,0.000459671027478126,0.0194087716948251,0.31731637546183,0.952705008518318,1.59583455602295,1.94872862454358,0.286922485980341,"R_surface","281655.004","4871175.786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DG-104","pump",11.4,0.0540934635165297,0.144362073833861,0.00612971416063927,0.138232359673222,0.0176161402107394,0.0014579260961533,0.53156933776534,0.001417175,0.0636514996180092
"7","42_4_d1",1900-01-01 11:32:00,2020-07-01,6.34,"G3",1.62562300995797,0.679847263613703,-0.00303253524999392,12.5999861704316,0.526606552930902,2.93421952984489,0.000803854057816081,-0.00364205972420042,0.0619545590063474,0.52307093083365,0.86446248850808,5.17537108188971,0.757937043762517,0.234452731176205,"R_surface","281655.004","4871175.786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DG-106","pump",30.3,0.0250325969154017,0.0312441162274807,-0.00159294173253587,0.0328370579600165,0.0141409428132545,0.0112246831186088,1.68299813208429,0.0205801546097424,0.0166086663796949
"8","42_4_d1",1900-01-01 12:47:00,2020-01-28,6.69,"G3",1.69464578409422,0.632063623524111,0.0314608919643,12.4331220088896,0.49214876049211,3.69411360756475,0.00240961095535158,0.0194723697688694,0.0448563431016252,0.488543526537425,0.82848631134506,5.00558077967974,0.443423121028538,0.202219047578297,"R_surface","281655.004","4871175.786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DG-107","pump",35.2,0.00645661910317351,NA,NA,NA,0.00861013539640139,0.0100571269518494,1.4822257517802,0.0185064399299998,0.00675980157929623
"9","42_4_d1",1900-01-01 12:50:00,2019-07-16,6.41,"G3",1.44,0.63,0.04,12.89,0.59,4.63,0.01,0.03,0.05,0.63,0.87,5.28,0.4,0.28,"R_surface","281655.004","4871175.786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DG-085","pump",41,0.07,NA,NA,NA,0.022,0.005,1.84,0.017,0.018
"10","42_4_d1",1900-01-01 13:08:00,2019-07-08,6.34,"G3",1.73,0.59,0.03,12.2,0.75,2.95,0.03,0.02,0.13,1,0.9,5.65,1.2,0.46,"R_surface","281655.004","4871175.786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DG-072","pump",36.5,0.22,NA,NA,NA,0.03,0.003,1.89,0.016,0.025
