WS-#,Site,Time,Date,pH,Notes,Type,deep C screen,Na-MP,Na mg/L,Mg-MP,Mg mg/L,Al-MP,Al mg/L,Si-MP,Si mg/L,P-MP,K-MP,K mg/L,Ca-MP,Ca mg/L,Mn-MP,Mn mg/L,Fe-MP,Fe mg/L,Zn-MP,Rb-MP,Sr-MP,Ba-MP,Pb-MP,F mg/L,Cl mg/L,NO3 mg/L,SO4 mg/L,DOC mg/L,TDN mg/L,NH4 mg N/L,Alm mg/L,Alo mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,E0A,,10-Jul-09,5.59,orig E?A,1,,1.10,,0.26,,0.09,,2.98,,,0.09,,1.07,,0.00,,0.01,,0.01,0.00,0.01,0.01,0.00,0.07,0.30,0.00,2.89,2.22,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,E0A,,1-Apr-10,5.32,,1,,0.79,0.75,0.23,0.24,0.19,0.20,2.24,2.42,,0.11,0.12,0.82,0.89,0.00,0.05,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.02,0.31,0.12,3.04,2.32,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,E0A,,18-Jun-10,5.78,,1,,1.42,1.19,0.33,0.29,0.10,0.11,3.91,3.56,,0.17,0.15,0.92,0.96,0.00,0.00,0.00,0.00,0.03,0.00,0.01,0.03,0.00,0.03,0.33,0.11,3.86,2.09,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,E0A,,28-Jun-10,5.61,,1,,1.10,1.01,0.26,0.27,0.16,0.18,2.98,3.10,,0.12,0.11,0.92,0.88,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.03,0.25,0.02,3.36,3.00,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,E0A,,6-Aug-10,6.07,"pretty dry, hard to tell if actually flowing water.",1,,1.32,1.42,0.35,0.32,0.10,0.08,4.26,4.43,,0.18,0.15,1.13,1.05,0.00,0.01,0.01,0.02,0.02,0.00,0.01,0.02,0.00,0.05,0.32,0.21,4.69,2.06,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,E0A,,1-Oct-10,5.27,,1,,0.64,0.65,0.26,0.23,0.30,0.32,2.39,2.19,,0.23,0.22,1.10,0.97,0.01,0.01,0.01,0.02,,0.00,0.01,0.00,0.00,0.04,0.54,0.02,2.74,5.94,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,E0B,,10-Jul-09,4.67,orig E?B,1,,1.03,,0.26,,0.11,,2.81,,,0.11,,1.08,,0.00,,0.01,,0.01,0.00,0.01,0.00,0.00,0.05,0.25,0.00,3.30,2.38,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,E0B,,1-Apr-10,5.29,,1,,0.78,0.70,0.23,0.23,0.20,0.19,2.23,2.24,,0.12,0.14,0.85,0.81,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,0.29,0.14,3.00,2.36,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,E0B,,1-Oct-10,5.24,,1,,0.58,0.62,0.25,0.23,0.29,0.32,2.15,2.11,,0.29,0.28,1.04,0.98,0.01,0.01,0.01,0.02,,0.00,0.01,0.00,0.00,0.04,0.55,0.00,2.88,5.25,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,E0C,,10-Jul-09,4.96,orig E?C,1,,1.60,,0.25,,0.01,,,,,0.16,,1.08,,0.00,,0.01,,0.04,0.01,0.01,0.03,0.00,0.10,0.50,0.00,3.69,2.11,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,E0C,,3-Dec-09,5.64,,1,,0.88,0.71,0.30,0.26,0.34,0.29,2.56,2.57,0.00,0.30,0.27,1.04,0.93,0.01,0.01,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.04,0.27,0.26,2.94,3.31,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,E0C,,1-Apr-10,5.25,,1,,0.75,0.70,0.22,0.22,0.21,0.20,2.14,2.16,,0.11,0.13,0.80,0.76,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,0.30,0.15,3.00,2.38,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,E0C,,1-Oct-10,5.17,,1,,0.56,0.60,0.24,0.23,0.31,0.32,2.18,2.07,,0.25,0.25,1.01,0.92,0.01,0.01,0.01,0.02,,0.00,0.01,0.00,0.00,0.04,0.53,0.00,2.85,5.37,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,E0D,,10-Jul-09,4.94,orig E?D,1,,1.02,,0.26,,0.10,,2.78,,,0.07,,1.13,,0.01,,0.01,,0.01,0.00,0.01,0.00,0.00,0.03,0.25,0.00,3.40,2.21,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,E0D,,1-Apr-10,5.21,,1,,0.78,0.70,0.23,0.22,0.22,0.20,2.29,2.18,,0.12,0.13,0.86,0.80,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,0.28,0.18,2.84,2.27,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,E0D,,1-Oct-10,5.16,,1,,0.54,0.50,0.24,0.20,0.30,0.29,2.03,1.69,,0.31,0.26,1.00,0.84,0.01,0.01,0.00,0.02,,0.00,0.01,0.00,0.00,0.04,0.54,0.02,2.79,5.71,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,E0E,,10-Jul-09,5.18,orig S01,1,,1.03,,0.23,,0.10,,2.83,,,0.10,,0.99,,0.01,,0.01,,0.00,0.00,0.01,0.00,0.01,0.05,0.31,0.00,3.61,1.91,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,E0E,,1-Apr-10,5.14,,1,,0.74,0.67,0.19,0.18,0.24,0.22,2.20,2.18,,0.13,0.13,0.74,0.71,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,0.31,0.21,2.81,2.04,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,E0E,,1-Oct-10,5.08,,1,,0.53,0.54,0.18,0.17,0.25,0.26,1.84,1.73,,0.19,0.18,0.71,0.66,0.01,0.01,0.00,0.02,,0.00,0.01,0.00,0.00,0.04,0.53,0.00,2.80,3.62,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,E0F,,1-Apr-10,5.04,,1,,0.68,0.60,0.17,0.17,0.36,0.33,2.02,1.95,,0.04,0.05,0.66,0.61,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.29,0.27,2.54,2.90,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,E0F,,1-Oct-10,4.95,,1,,0.53,0.54,0.17,0.16,0.42,0.45,1.95,1.87,,0.17,0.17,0.75,0.71,0.02,0.02,0.00,0.02,,0.00,0.01,0.00,0.00,0.05,0.57,0.02,2.72,5.67,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,E0G,,1-Apr-10,4.97,,1,,0.72,0.65,0.17,0.16,0.33,0.37,2.14,2.01,,0.20,0.22,0.66,0.61,0.01,0.01,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.03,0.37,0.34,2.56,2.99,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,E0G,,1-Oct-10,4.87,,1,,0.56,0.51,0.18,0.14,0.55,0.50,2.06,1.71,,0.23,0.19,0.86,0.71,0.02,0.02,0.00,0.02,,0.00,0.01,0.01,0.00,0.05,0.61,0.06,2.75,6.90,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,E0H,,1-Oct-10,4.69,,1,,0.54,0.53,0.16,0.14,0.52,0.52,1.80,1.59,,0.15,0.15,0.64,0.58,0.02,0.02,0.00,0.02,,0.00,0.00,0.00,0.00,0.04,0.60,0.23,2.94,7.07,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,E0I,,1-Oct-10,4.66,,1,,0.50,0.46,0.17,0.13,0.53,0.50,1.75,1.42,,0.18,0.16,0.63,0.53,0.03,0.02,0.00,0.02,,0.00,0.00,0.00,0.00,0.05,0.52,0.01,2.72,7.44,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,E0J,,28-Jun-10,4.38,new site at head of stream,1,,0.58,0.55,0.19,0.21,1.04,0.97,1.93,2.01,,0.12,0.12,0.51,0.69,0.02,0.03,0.13,0.13,0.01,0.00,0.04,0.06,0.00,0.01,0.30,1.14,2.83,12.47,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
