Well_ID,Easting,Northing,Watershed,Subcatchment,HPU,Screened_horizon,Screen_length_cm,Screen_top_depth_cm,Screen_bottom_depth_cm,Well_diameter_cm,Well_diameter_in,Stickup_cm,Installation_date,wlr_model,wlr_serial,wlr_installation_date,notes
52_4_P1,,,3,52,Bh,BC,5.1,66.4,71.5,5.1,2,,6/19/19,,,,
52_4_P2,,,3,52,Bh,BC,5.1,66.4,71.5,5.1,2,,6/19/19,,,,
52_4_P3,,,3,52,Bh,BC,5.1,66.4,71.5,5.1,2,,6/19/19,,,,
42_3_D1,,,3,42,Bhs,C,31,236,267,3.8,1.5,63,,Odyssey2m,,3/13/19,Installed into soil pit V2 with Shaw drill and hand auger; total pipe length 330 cm
42_3_P1,,,3,42,Bhs,BC,5.1,65.4,70.5,5.1,2,,6/17/19,,,,
42_3_P2,,,3,42,Bhs,BC,5.1,65.4,70.5,5.1,2,,6/17/19,,,,
42_3_P3,,,3,42,Bhs,BC,5.1,65.4,70.5,5.1,2,,6/17/19,,,,
42_3_S1,,,3,42,Bhs,BC,30.5,14.8,45.3,5.1,2,98.5,7/31/18,U20L-04,10710508,3/11/19,
42_3_S2,,,3,42,Bhs,BC,30.5,71.1,101.6,5.1,2,87.8,10/7/18,U20L-04,10766684,3/11/19,
42_3_S3,,,3,42,Bhs,BC,30.5,23.6,54.1,5.1,2,133,7/31/18,U20L-04,10766689,3/11/19,
42_4_D1,,,3,42,Bhs,bedrock surface,61,624.8,685.8,7.6,3,138.2,10/9/19,U20L-04,20566226,3/28/19,"#1 sand backfill to 18.5 ft., 00 sand to 17 ft, native material above that"
42_4_D2,,,3,42,Bhs,C,61,309.8,370.8,7.6,3,156.7,10/10/19,U20-001-04,20357922,3/11/19,"#1 sand to 9 ft, 00 sand to 8 ft"
42_4_S1,,,3,42,Bhs,BC,30.5,58.7,89.2,5.1,2,99.5,10/8/19,U20-001-04,10776814,3/11/19,
42_4_S2,,,3,42,Bhs,BC,30.5,58.3,88.8,5.1,2,117,10/8/19,U20-001-04,20357931,3/11/19,
42_4_S3,,,3,42,Bhs,BC,30.5,57,87.5,5.1,2,85,10/8/19,U20L-04,10753527,3/11/19,
52_2_S1,,,3,52,Bhs,Bhs,15.2,22.3,37.5,3.8,1.5,85.1,10/11/19,U20L-04,20566223,3/28/19,
52_3_P1,,,3,52,Bhs,Bhs,5.1,42.4,47.5,5.1,2,,6/18/19,,,,Lower Bhs
52_3_P2,,,3,52,Bhs,Bhs,5.1,42.4,47.5,5.1,2,,6/18/19,,,,Lower Bhs
52_3_P3,,,3,52,Bhs,Bhs,5.1,42.4,47.5,5.1,2,,6/18/19,,,,Lower Bhs
52_3_S1,,,3,52,Bhs,Bhs,30.5,25.7,56.2,5.1,2,133,10/11/19,U20-001-04,20357937,3/11/19,
52_3_S2,,,3,52,Bhs,Bhs,30.5,30.1,60.6,5.1,2,101.4,10/11/19,U20-001-05,10776815,3/11/19,
52_3_S3,,,3,52,Bhs,Bhs,30.5,25.2,55.7,5.1,2,132.8,10/11/19,U20-001-06,10032083,3/11/19,
86_3_D1,,,3,86,Bhs,R,243.8,160.1,403.9,7.6,3,,10/15/18,U20L-04 (Barometric),10710509,3/11/19,"11.5 ft depth of bedrock interface. bedrock core retrieved 12-20.5 ft. screen 13.25-20.25 ft, backfilled #1 sand to 10.5 ft, 00 sand to 9.5 ft, capped with bentonite"
86_3_D2,,,3,86,Bhs,bedrock surface,61,243.8,304.8,7.6,3,,10/15/18,U20L-04,10766685,3/11/19,"screen 8-10 ft. backfilled #1 sand to 7 ft, 00 sand to 5 ft."
86_3_P1,,,3,86,Bhs,Bhs,5.1,69.4,74.5,5.1,2,76,6/10/19,,,,
86_3_P2,,,3,86,Bhs,Bhs,5.1,69.4,74.5,5.1,2,81,6/10/19,,,,
86_3_P3,,,3,86,Bhs,Bhs,5.1,69.4,74.5,5.1,2,81,6/10/19,,,,
86_3_S1,,,3,86,Bhs,Bhs/C,30.5,43.9,74.4,5.1,2,113.7,10/12/18,U20L-04,10766686,3/11/19,
42_4_P1,,,3,42,Bi,BC,5.1,44.9,50,5.1,2,,6/17/19,,,,
42_4_P2,,,3,42,Bi,BC,5.1,44.9,50,5.1,2,,6/17/19,,,,
42_4_P3,,,3,42,Bi,BC,5.1,44.9,50,5.1,2,,6/17/19,,,,
52_4_S1,,,3,52,Bi,BC,30.5,16.4,46.9,5.1,2,141.5,10/10/19,U20-001-01,10032081,3/11/19,
52_4_S2,,,3,52,Bi,BC,30.5,30.8,61.3,5.1,2,127,10/10/19,U20-001-01,10075389,3/11/19,
