Well,Well Install Date,Well Removal Date,Current Status,Pedon ID,HPU,Deep Well,Original wlr Serial#,Current wlr Serial #,Start of Record date,End of Record date,pipe top - ground (original) cm,pipe top - ground (fall 2010) cm,top pipe - top screen cm,ground - top screen cm,ground - bottom screen cm,notes,download files,Gaps in Data,
I7,,,removed,I7,aquept,n,42443,,22-Jul-10,21-Nov-14,118,,,168.2,50.2,gap due to operator error. Removed 11/21/2014.,,10/5/2010 - 11/13/2010; 10/10/2012 - 11/10/2012,
K6D,,,ide,,aquept,y,42006,,21-Jul-10,3-Sep-14,55,,,168.2,113.2,downloaded 7/3/2014. Logger failed to connect. Removed 11/21/2014.,,4/10/2013 - 7/24/2013,*BAD POINTS
K6S,,,destroyed,K6S,aquept,n,42008,42010,15-Jul-10,13-Nov-14,105.5,,168.2,62.7,93.7,"frozen, winter 2010-2011",,8/25/2009 -7/14/2010,*BAD POINTS
K7D,,,idle,,aquept,y,42445,,12-Aug-10,21-Nov-14,63,,,168.2,105.2,"frozen, winter 2010-2011: downloaded 7/3/2014. Logger broke when removed 11/21/2014.",,4/7/2011 - 5/24/2011,
K7S,,,idle,,aquept,n,42444,42442,12-Aug-10,21-Nov-14,120.5,,,148.2,27.7,"frozen, winter 2010-2011: Logger Failed to connect. Replaced 7/8/2014. Logger removed 11/21/2014.",,11/26/2013 - 7/8/2014,*BAD POINT
FS7,,,idle,,bedrock,y,,,,,,72,,,31,steel casing to open bedrock borehole,,,
D1,,,idle,D1,Bh,n,42441,,11-Nov-09,IP,126,,168.2,42.2,73.2,,,10/9/12 - 11/10/12; 7/24/2013 - 7/8/2014,
I8,,,removed,I8,Bh,n,42447,,28-Jul-10,21-Nov-14,85.5,,,168.2,82.7,Removed 11/21/2014.,,10/10/2012 - 11/10/2012,
I9,,,removed,I9,Bh,n,42446,,22-Jul-10,,105.5,,,168.2,62.7,Removed 11/21/2014.,,10/10/2012 - 11/10/2012,
JD02,,,idle,A1,Bh,n,32765,,10-Aug-07,,96.7,94.5,148.2,53.7,84.7,,,10/9/2012 - 11/10/2012,
JD20,,,idle,H3,Bh,n,32760,,,,105,104,148.2,44.2,75.2,,,,
JD21,,,idle,H2,Bh,n,32762,,,,73,71.5,148.2,76.7,107.7,no wlr present 7/8/2014,,,
JD25,,,idle,B4,Bh,n,32773,,,,78,77,148.2,71.2,102.2,logger failed Oct 2010; new WLR on 6/16/11,,,
K10,,,logging,K10,Bh,n,42529,42529,27-Jul-11,IP,14,,145.7,131.7,162.7,7/3/2014: Logger failed to connect. 7/8/2014 successful connection,,,
K11,,,destroyed,K11,Bh,n,42523,,,,30,,145.7,115.7,146.7,,,7/12/14 - 9/3/2014,
K12,,,idle,K12,Bh,n,42518,,26-Nov-13,IP,100,,145.7,,31,,,,
K1D,,,logging,K1D,Bh,y,43378,43687,1-Aug-11,IP,60,,145.7,85.7,116.7,deeper well screened well down into C,,,
K1s,,,destroyed,K1s,Bh,n,42013,,21-Oct-09,26-Jan-13,113,,168.2,55.2,86.2,Well destroyed,,7/6/2013 - 7/24/2013,
K4D,,,idle,,Bh,Y,42010,,2-Jul-10,21-Nov-14,57.5,,,168.2,110.7,Removed 11/21/2014.,,,
K4M,,,destroyed,K4M,Bh,n,42007,,2-Jul-10,26-Nov-13,82,,168.2,86.2,117.2,top 18.7 cm below K4S: well destroyed,,4/7/2011 - 5/24/2011; double measurements in spring and summer of 2012; 4/10/2013 - 7/24/2013,
K4S,,,idle,K4S,Bh,n,42011,,2-Jul-10,17-Sep-12,100.7,,168.2,67.5,98.5,,,"4/7/2011 - 5/24/2011; 8/6/2011 - 11/28/2011, 1/21/2012 - 1/25/2012; 8/9/2012 - 9/6/2012",
A5,,,idle,A5,Bhs,n,32770,,11-Nov-09,,63,,,168.2,105.2,gaps due to logger issues. Logger installed 7/8/2014. Removed 11/21/2014,,4/10/2013 - 7/8/2014; 5/2/2012 - 8/9/2012; 11/26/2011 - 1/5/2012; 11/17/2011 - 11/21/2011,
N2,,,destroyed,N2,Bhs,n,42009,,21-Oct-09,IP,77,,168.2,91.2,122.2,Logger #42009 failed 2/26/2015. Replaced with #42447.,,,
N4,,,logging,N4,Bhs,n,42528,42528,27-Jul-11,IP,80,,145.7,65.7,96.7,,,,
N5,,,logging,N5,Bhs,y,43382,43382,20-Jul-11,IP,33.8,,201.1,167.3,198.3,deeper well screened well down into C,,,
O1,,,removed,,Bhs,n,42520,,9-Jun-11,21-Nov-14,110,,,165,55,short screen. Removed 11/21/2014.,,7/17/2013 - 7/15/2014,
P2,,,removed,P2,Bhs,n,42524,,16-Jun-11,,117.6,,165,47.4,78.4,short screen,,,
